    Mjd              err        Mag         err-         err+       LimitMag Filter imagename
    56432.342520     0.02083    14.25500    -0.00890     0.00890    19.48072 CLEAR data/J1555+1111_20130520_081314_May3kitn_kait_clear_c.fit
    56439.320320     0.02083    14.27500    -0.01702     0.01702    18.01608 CLEAR data/J1555+1111_20130527_074116_May3riev_kait_clear_c.fit
    56443.304790     0.02083    14.25000    -0.01031     0.01031    19.78659 CLEAR data/J1555+1111_20130531_071854_May3vhum_kait_clear_c.fit
    56446.296820     0.02083    14.27300    -0.01813     0.01813    19.83256 CLEAR data/J1555+1111_20130603_070725_Jun33hpf_kait_clear_c.fit
    56449.364090     0.02083    14.33200    -0.01136     0.01136    19.61983 CLEAR data/J1555+1111_20130606_084417_Jun36jhy_kait_clear_c.fit
    56452.366640     0.02083    14.36600    -0.01063     0.01063    19.59061 CLEAR data/J1555+1111_20130609_084758_Jun39jjq_kait_clear_c.fit
    56455.367700     0.02083    14.41100    -0.01722     0.01722    19.83295 CLEAR data/J1555+1111_20130612_084929_Jun3cjki_kait_clear_c.fit
    56460.313160     0.02083    14.43300    -0.00861     0.00861    19.55190 CLEAR data/J1555+1111_20130617_073057_Jun3hiab_kait_clear_c.fit
    56470.341350     0.02083    14.28100    -0.02424     0.02424    19.23736 CLEAR data/J1555+1111_20130627_081133_Jun3risv_kait_clear_c.fit
    56473.283470     0.02083    14.26200    -0.01052     0.01052    19.51391 CLEAR data/J1555+1111_20130630_064812_Jun3uhgj_kait_clear_c.fit
    56476.288030     0.02083    14.23300    -0.02123     0.02123    19.38335 CLEAR data/J1555+1111_20130703_065446_Jul33hjj_kait_clear_c.fit
    56479.277750     0.02083    14.24400    -0.02703     0.02703    19.96020 CLEAR data/J1555+1111_20130706_063958_Jul36hco_kait_clear_c.fit
    56483.276240     0.02083    14.25400    -0.01739     0.01739    19.54445 CLEAR data/J1555+1111_20130710_063747_Jul3ahbo_kait_clear_c.fit
    56486.254140     0.02083    14.20800    -0.02606     0.02606    20.02443 CLEAR data/J1555+1111_20130713_060558_Jul3dgmw_kait_clear_c.fit
    56489.203270     0.02083    14.16000    -0.01232     0.01232    19.48711 CLEAR data/J1555+1111_20130716_045243_Jul3gffb_kait_clear_c.fit
    56682.531810     0.02083    14.42000    -0.06603     0.06603    16.37007 CLEAR data/J1555+1111_20140125_124548_Jan4pnpg_kait_clear_c.fit
    56689.600250     0.02083    14.21900    -0.04212     0.04212    17.08754 CLEAR data/J1555+1111_20140201_142422_Feb41piu_kait_clear_c.fit
    56700.534850     0.02083    14.14400    -0.01273     0.01273    19.29599 CLEAR data/J1555+1111_20140212_125011_Feb4cnrk_kait_clear_c.fit
    56705.490350     0.02083    14.08300    -0.01163     0.01163    19.01952 CLEAR data/J1555+1111_20140217_114606_Feb4hmnv_kait_clear_c.fit
    56709.540250     0.02083    14.02700    -0.01599     0.01599    18.62491 CLEAR data/J1555+1111_20140221_125758_Feb4lnuz_kait_clear_c.fit
    56712.514160     0.06960    14.01200    14.00341    14.02059    19.28193 CLEAR data/J1555+1111_20140224_111010_Feb4olxg_kait_clear_c.fit
    56729.512260     0.02083    13.93800    -0.01414     0.01414    19.52617 CLEAR data/J1555+1111_20140313_121739_Mar4dnck_kait_clear_c.fit
    56740.523590     0.02083    13.88900    -0.01162     0.01162    19.28597 CLEAR data/J1555+1111_20140324_123358_Mar4onjx_kait_clear_c.fit
    56750.540060     0.02083    13.87500    -0.02752     0.02752    17.74224 CLEAR data/J1555+1111_20140403_125741_Apr43nuw_kait_clear_c.fit
    56753.531480     0.02083    13.92600    -0.00874     0.00874    18.86777 CLEAR data/J1555+1111_20140406_124520_Apr46npe_kait_clear_c.fit
    56756.513310     0.02083    13.90700    -0.01132     0.01132    19.29121 CLEAR data/J1555+1111_20140409_121910_Apr49ndc_kait_clear_c.fit
    56759.487950     0.02083    13.94600    -0.01323     0.01323    19.44669 CLEAR data/J1555+1111_20140412_114239_Apr4cmmg_kait_clear_c.fit
    56767.491460     0.02083    14.00000    -0.01253     0.01253    18.62202 CLEAR data/J1555+1111_20140420_114742_Apr4kmop_kait_clear_c.fit
    56771.506930     0.02083    13.99000    -0.00931     0.00931    19.13123 CLEAR data/J1555+1111_20140424_120959_Apr4omyw_kait_clear_c.fit
    56775.495710     0.02083    13.98300    -0.00952     0.00952    18.74893 CLEAR data/J1555+1111_20140428_115349_Apr4smrk_kait_clear_c.fit
    56778.458800     0.02083    13.92200    -0.01520     0.01520    19.44448 CLEAR data/J1555+1111_20140501_110040_May41lsw_kait_clear_c.fit
    56784.446970     0.02083    14.02200    -0.00929     0.00929    19.42240 CLEAR data/J1555+1111_20140507_104338_May47lla_kait_clear_c.fit
    56787.471620     0.02083    14.04100    -0.00982     0.00982    18.66267 CLEAR data/J1555+1111_20140510_111908_May4ambj_kait_clear_c.fit
    56795.445100     0.02083    14.09700    -0.01267     0.01267    18.76173 CLEAR data/J1555+1111_20140518_104057_May4iljt_kait_clear_c.fit
    56798.414410     0.02083    14.07300    -0.00856     0.00856    19.18741 CLEAR data/J1555+1111_20140521_095645_May4lkpj_kait_clear_c.fit
    56801.406230     0.02083    14.02000    -0.01386     0.01386    18.45051 CLEAR data/J1555+1111_20140524_094458_May4okjy_kait_clear_c.fit
    56804.417730     0.02083    13.98600    -0.01426     0.01426    19.36509 CLEAR data/J1555+1111_20140527_100132_May4rkrp_kait_clear_c.fit
    56807.418960     0.02083    14.01600    -0.02513     0.02513    19.22219 CLEAR data/J1555+1111_20140530_100318_May4uksk_kait_clear_c.fit
    56810.405460     0.02083    14.09400    -0.01147     0.01147    19.38767 CLEAR data/J1555+1111_20140602_094352_Jun42kjl_kait_clear_c.fit
    56813.399420     0.02083    14.08200    -0.01026     0.01026    19.17914 CLEAR data/J1555+1111_20140605_093510_Jun45kfk_kait_clear_c.fit
    56823.382350     0.02083    14.04000    -0.01318     0.01318    18.60123 CLEAR data/J1555+1111_20140615_091035_Jun4fjub_kait_clear_c.fit
    56826.358430     0.02083    14.03300    -0.01545     0.01545    19.29915 CLEAR data/J1555+1111_20140618_083608_Jun4ijee_kait_clear_c.fit
    56829.340710     0.02083    13.99700    -0.01447     0.01447    19.00712 CLEAR data/J1555+1111_20140621_081037_Jun4lisk_kait_clear_c.fit
    56832.310130     0.02083    13.87400    -0.01511     0.01511    19.72742 CLEAR data/J1555+1111_20140624_072635_Jun4ohyb_kait_clear_c.fit
    56835.331930     0.02083    13.87400    -0.00956     0.00956    19.45399 CLEAR data/J1555+1111_20140627_075759_Jun4rimo_kait_clear_c.fit
    56838.326400     0.02083    13.80900    -0.00948     0.00948    19.18293 CLEAR data/J1555+1111_20140630_075001_Jun4uiiw_kait_clear_c.fit
    56843.289330     0.02083    13.89000    -0.01434     0.01434    19.50003 CLEAR data/J1555+1111_20140705_065638_Jul45hkg_kait_clear_c.fit
    56851.269100     0.00486    13.98700    -0.02075     0.02075    17.88409 CLEAR data/J1555+1111_20140713_062730_Jul4dgwu_kait_clear_c.fit
    57078.582280     0.02083    13.73100    -0.01713     0.01713    17.88531 CLEAR data/J1555+1111_20150225_135829_Feb5powx_kait_clear_c.fit
    57085.577000     0.02083    13.66100    -0.01844     0.01844    17.83708 CLEAR data/J1555+1111_20150304_135053_Mar54otj_kait_clear_c.fit
    57086.561640     0.02083    13.62800    -0.01232     0.01232    18.75411 CLEAR data/J1555+1111_20150305_132846_Mar55ojf_kait_clear_c.fit
    57094.559950     0.02083    13.58800    -0.01128     0.01128    18.68169 CLEAR data/J1555+1111_20150313_132620_Mar5doib_kait_clear_c.fit
    57097.563170     0.02083    13.65500    -0.06243     0.06243    16.46596 CLEAR data/J1555+1111_20150316_133058_Mar5gokg_kait_clear_c.fit
    57101.558160     0.02083    13.59400    -0.02055     0.02055    17.74397 CLEAR data/J1555+1111_20150320_132345_Mar5kogx_kait_clear_c.fit
    57106.549720     0.02083    13.66800    -0.01278     0.01278    18.32755 CLEAR data/J1555+1111_20150325_131136_Mar5pobg_kait_clear_c.fit
    57112.521070     0.02083    13.67300    -0.09953     0.09953    17.87990 CLEAR data/J1555+1111_20150331_123020_Mar5vnif_kait_clear_c.fit
    57113.529690     0.02083    13.67700    -0.00856     0.00856    19.02802 CLEAR data/J1555+1111_20150401_124245_Apr51nnz_kait_clear_c.fit
